songid,excitedness,happiness,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,name,response_count,response_excitedness,response_happiness
6RcwQer8mvE0cUhkSpT1gu,4.05734556318803,2.747349760045841,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,Handel- Suite in Fa Major (Adagio),20,4.05734556318803,2.747349760045841
2hmC0upWZmAkg9ZwSDHD7Q,-6.663376815812453,1.415980230642503,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),20,-6.663376815812453,1.415980230642503
3r7HFP1c7F0TS5moDNjgk6,-3.5923319133172797,-0.1973846787479417,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,Prelude and Fugue No 13 in F-sharp major,20,-3.5923319133172797,-0.1973846787479417
15biOfRTqZrfLxe6P1ddoh,-3.209495060156924,1.2806442567212306,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,Trio Sonata in D minor-1 Allegro (Telemann),20,-3.209495060156924,1.2806442567212306
3alsYfAMWcYaBOhoxzp5Re,5.648315487895709,7.450576606260293,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,Suite in C Major-1 Prelude-Johann Gottfried Conradi,20,5.648315487895709,7.450576606260293
3bhUaQfHR9l98boGu6Q24a,-3.237483591969527,1.3853995057660606,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,Sonnerie - from Handel Trio Sonatas,20,-3.237483591969527,1.3853995057660606
1wXZQNctwLAHBAXWkl9GHt,-5.14261900351917,-0.10008237232289964,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,Carnaval Opus 9 - Preambule,20,-5.14261900351917,-0.10008237232289964
0K8yQhQqosSxnqUzgw7QGY,7.961084203930594,4.408119807914755,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,Biber: Sonata 6 in C Minor (from 8 Sonatas 1681),20,7.961084203930594,4.408119807914755
04cjhGLhlf3NKBGEPl1fEk,-4.628055628898969,-1.3670826176872655,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,Trio Sonata in D minor-3. Allegro (Telemann),20,-4.628055628898969,-1.3670826176872655
1WcJcEqsyUEeCKhVfj7ZCX,3.583310634867023,7.086805892043801,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,Chopin Prelude In E Major Opus 28,20,3.583310634867023,7.086805892043801
1LAlEeMWSponkTegUkQjOI,-2.895819950897131,-1.5128290511409448,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),20,-2.895819950897131,-1.5128290511409448
6aTENtwFV06NhEhi5V3ECj,-3.062641985855279,1.0024123323134848,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),20,-3.062641985855279,1.0024123323134848
30M2CvrI43F81Agt6L68pd,-5.212631968883126,-1.345551894563427,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,Chopin Prelude In G Minor Opus 28,20,-5.212631968883126,-1.345551894563427
1VdoJvF9iC6NDzG0059l9n,7.07964437858863,-2.662376441515651,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),20,7.07964437858863,-2.662376441515651
1QKOTN5RT7TPve4xmIVOps,5.378152816970463,8.84409826533579,231093,7,1,4,0.956,0.229,0.117,0.434,0.305,-23.929,0.0439,0.336,94.279,Sonata BWV 1027 in G major: adagio,20,5.378152816970463,8.84409826533579
5M0AHL1MCcshA5htbnc0X1,-4.0428408728172665,0.12074555715237051,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,Set a 5 in C Minor,20,-4.0428408728172665,0.12074555715237051
5IQypz1rEWTcj0S3YOKwNe,-4.122430079644378,-0.883690280065898,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,Sonata for Oboe and Bassoc Continuo in G major: Andante (Sammartini),20,-4.122430079644378,-0.883690280065898
5upiiRig3NhF9Ab5HeIRXq,-5.07593998888683,2.287644151565073,502133,7,0,3,0.97,0.208,0.0772,2.73e-06,0.0729,-21.855,0.0498,0.0754,80.939,Confitebor (Monteverdi),20,-5.07593998888683,2.287644151565073
1ZY3Ve6hKOLxn5Y1BSN5Qz,-1.2288942396740132,3.7187088138385476,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,20,-1.2288942396740132,3.7187088138385476
7lA8yfEsWlarZiSRd3mQDW,5.234085217069182,4.9500483489721345,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,Fandango (Luigi Boccherini),20,5.234085217069182,4.9500483489721345
53bqTstpTJoH7ATnybwJVk,6.776322901822332,2.0567192280536597,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,Froberger: Toccata III in C Major 1656,20,6.776322901822332,2.0567192280536597
3x2hBWjZ5hSI32RRYNDcUs,1.0628779886774522,2.1578952080796494,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,20,1.0628779886774522,2.1578952080796494
6y57WgLiErkmfjxUh91TUN,5.919429523985925,5.426688632619441,326227,0,1,4,0.982,0.21,0.265,0.113,0.136,-17.667,0.0416,0.182,84.027,Kyrie - Allegro moderato,20,5.919429523985925,5.426688632619441
4qxN1gUvvDuUEabzm0jkn3,5.724393406186329,-0.4841021416803965,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,Oboe Quartet in F (K370) - Allegro,20,5.724393406186329,-0.4841021416803965
