id,,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
4.0,3.69565217391,3.42028985507,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709
5.0,-4.4246031746,2.64285714286,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933
6.0,-2.09848484849,1.70075757576,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259
7.0,-1.8085106383,2.56382978724,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533
8.0,4.90070921986,6.16666666667,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125
9.0,-1.82971014493,2.625,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414
10.0,-3.27272727272,1.75757575758,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263
11.0,6.6524822695,4.39007092198,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461
12.0,-2.8829787234,1.01773049646,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522
13.0,3.33660130719,5.95424836601,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441
14.0,-1.57092198582,0.932624113475,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261
15.0,-1.69727891157,2.40136054422,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486
16.0,-3.32575757576,1.0303030303,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189
17.0,5.98484848485,0.261363636361,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719
19.0,4.69607843137,6.98039215686,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544
20.0,-2.43971631206,1.8865248227,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423
21.0,-2.5,1.3,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402
22.0,-3.22222222222,3.15185185186,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279
23.0,-0.308333333328,3.98750000001,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66
